,A1,A2,A3,A4,A5,A1R,A2R,A3R,A4R,A5R,A6R,A7R,G,E
A1,0.020000000000000004,0.61,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
A2,0.0,0.016,0.584,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1
A3,0.0,0.0,0.012,0.718,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.07
A4,0.0,0.0,0.0,0.008,0.7919999999999999,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.05
A5,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.762,0.03
A1R,0.0,0.0,0.0,0.0,0.0,0.025000000000000005,0.795,0.0,0.0,0.0,0.0,0.0,0.0,0.18
A2R,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.83,0.0,0.0,0.0,0.0,0.0,0.15000000000000002
A3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.88,0.0,0.0,0.0,0.0,0.10500000000000001
A4R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.915,0.0,0.0,0.0,0.07500000000000001
A5R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.3,0.0,0.6449999999999999,0.045
A6R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.77,0.02
A7R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.98,0.01
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
